,id_review,rating,compound,Sentiment,pred,temp_pred,fin_pred,score
ChdDSUhNMG9nS0VJQ0FnSUQ4eTQ3QXpnRRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSUQ4cmFQNTdRRRAB,"Whether you are into indoor or outdoor sports, this college offers everything there is to promote extracurricular activities. This does not only help us be fit but also take a break from our regular academic schedules.",5.0,0.2313,Positive,3,4.0,4,3.4626
ChZDSUhNMG9nS0VJQ0FnSUQ4bGFibk1nEAE,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSUNNNWVqbjd3RRAB,"The worst educational institution I have ever come across. There is no academic ambiance. Faculty members are mediocre. They choose school heads who lack scholarship, vision and mission.They conduct quizzes to make the ineligible students eligible for writing their final semester exam, an injustice to the genuine students who attend the classes regularly and study sincerely. The latest news on the murder of the Ex-Vice Chancellor of this university can provide sufficient proof on how low this educational institution is.",1.0,-0.9325,Negative,1,1.0,1,1.135
ChdDSUhNMG9nS0VJQ0FnSUM4cThLNm5nRRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChZDSUhNMG9nS0VJQ0FnSUM4cmJmYUhREAE,,4.0,1.5,Positive,5,4.0,4,6.0
ChdDSUhNMG9nS0VJQ0FnSUM4cVk3NDhnRRAB,"The moment I entered this university, I was taken aback with its green campus and infrastructure that matches international standards. I am so glad to be studying at a campus which has a student-friendly environment.",5.0,0.5949,Positive,4,4.5,5,4.1898
ChdDSUhNMG9nS0VJQ0FnSUM4cWZhc2d3RRAB,I am glad I did my MBA from Alliance University because it offered me an opportunity to pursue professional certificate programs. A good curriculum with value-added certifications isn't easy to find within the same college.,5.0,0.7426,Positive,4,4.5,5,4.4852
ChZDSUhNMG9nS0VJQ0FnSUM4NGJLd1ZnEAE,"Whether it is the student activity center, or even the spacious residence halls, Alliance University has built the perfect infrastructure to provide us with a unique learning and living experience.",5.0,0.5719,Positive,4,4.5,5,4.1438
ChdDSUhNMG9nS0VJQ0FnSUM4NGF5bzFRRRAB,"One thing that has stood out for me is Alliance University's faculty. Here, my professors are always willing to listen, understand, and provide solutions. Honestly, I do not have to think twice before talking to any professor whenever I have a doubt.",4.0,0.296,Positive,3,3.5,4,3.592
ChdDSUhNMG9nS0VJQ0FnSUM4NGNEd2tRRRAB,"I am currently pursuing an MBA from Alliance University, and I must say the industry-specific curriculum has improved my understanding of the real business problems. Plus, the field projects and company visits have given me clarity on how my expertise can be put into action.",5.0,0.4767,Positive,3,4.0,4,3.9534000000000002
ChdDSUhNMG9nS0VJQ0FnSUM4b1pmMmtnRRAB,"If you are planning to study at Alliance University, you are just one step away from studying at a top-ranked B-School in India. The campus, experienced faculty, hostels, and international exposure won’t disappoint you. I am happy I was a part of this business school.",5.0,0.25,Positive,3,4.0,4,3.5
ChdDSUhNMG9nS0VJQ0FnSUM4b2J2a3p3RRAB,The infrastructure of the college is just awesome. You will enjoy the campus a lot as they have many activities which you can do in and around the campus. The faculty is really very good and helpful with everything. I am very happy and satisfied with Alliance University.,5.0,0.9678,Positive,4,4.5,5,4.9356
ChdDSUhNMG9nS0VJQ0FnSUM4b2V2Rzl3RRAB,"I finished my MBA from Alliance University last year and enjoyed every moment spent here. I am thankful to all the experienced faculty members who have not only taught the curriculum, but also helped me learn how to apply my knowledge in real business situations.",5.0,0.5423,Positive,4,4.5,5,4.0846
ChZDSUhNMG9nS0VJQ0FnSUM4Z2Vxc0tnEAE,,1.0,1.5,Positive,5,1.0,1,6.0
ChdDSUhNMG9nS0VJQ0FnSUM4NG96SG9BRRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChZDSUhNMG9nS0VJQ0FnSUM4X0txY1hnEAE,,1.0,1.5,Positive,5,1.0,1,6.0
ChdDSUhNMG9nS0VJQ0FnSUM4X0lDbWpRRRAB,Wonderful garden,5.0,0.5719,Positive,4,4.5,5,4.1438
ChdDSUhNMG9nS0VJQ0FnSUM4dktfQ3V3RRAB,Amazing,5.0,0.5859,Positive,4,4.5,5,4.1718
ChZDSUhNMG9nS0VJQ0FnSUM4cVBybmNnEAE,Don't take admission. go through their history . At the time of my admission they informed me They will assist for education loan . So I paid 20000 rs for admission in the last moment they informed me I have to submit 4 check leaves. I asked them if I am going through education loan then why you require check leaves. They told me this is procedure. until further information we will not deduct any money from your account. I informed them Education loan is not approving for me from any bank so I am going to drop the course. And now they deduct 30000 rs which is my only savings during this covid time.,1.0,-0.2732,Negative,2,1.5,1,2.4536
ChZDSUhNMG9nS0VJQ0FnSURjNVlyN093EAE,Excellent Infrastructure Competent faculty,5.0,0.7184,Positive,4,4.5,5,4.4368
ChZDSUhNMG9nS0VJQ0FnSURjNVlMYlVREAE,,5.0,1.5,Positive,5,5.0,5,6.0
ChZDSUhNMG9nS0VJQ0FnSURjNGVLOFlnEAE,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSURjanR5MG53RRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSURjeHVlRTBnRRAB,,2.0,1.5,Positive,5,2.0,2,6.0
ChdDSUhNMG9nS0VJQ0FnSURjeXR2NmxnRRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChZDSUhNMG9nS0VJQ0FnSURjeXYzQ0lBEAE,,5.0,1.5,Positive,5,5.0,5,6.0
ChZDSUhNMG9nS0VJQ0FnSURjNHNlYUtBEAE,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSURjdk56cHdnRRAB,,1.0,1.5,Positive,5,1.0,1,6.0
ChZDSUhNMG9nS0VJQ0FnSURjNEotLVZBEAE,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSURjd00tXzdBRRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChZDSUhNMG9nS0VJQ0FnSUNjcDQyMFBREAE,,5.0,1.5,Positive,5,5.0,5,6.0
ChZDSUhNMG9nS0VJQ0FnSUNjeThXX2JBEAE,,4.0,1.5,Positive,5,4.0,4,6.0
ChZDSUhNMG9nS0VJQ0FnSUNjOC1tZ1F3EAE,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSUNjazdPdTd3RRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChZDSUhNMG9nS0VJQ0FnSURzNmIzSER3EAE,,1.0,1.5,Positive,5,1.0,1,6.0
ChZDSUhNMG9nS0VJQ0FnSURzN3JyWVVBEAE,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSURzaHYzbDRBRRAB,I made a call to the University from the contact number given on their website but the call was not received on any of the 3 numbers.,1.0,0.0387,Neutral,3,2.0,2,3.0774
ChdDSUhNMG9nS0VJQ0FnSURzbk1LTzlnRRAB,,1.0,1.5,Positive,5,1.0,1,6.0
ChdDSUhNMG9nS0VJQ0FnSURzN1BDX3d3RRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSURzd05lWGtBRRAB,,2.0,1.5,Positive,5,2.0,2,6.0
ChdDSUhNMG9nS0VJQ0FnSUNzMThxUzJnRRAB,Worst academic environment. I was a faculty there in law school. It was the worst academic experience I ever got.,1.0,-0.8481,Negative,1,1.0,1,1.3038
ChZDSUhNMG9nS0VJQ0FnSUNzdTduS093EAE,,5.0,1.5,Positive,5,5.0,5,6.0
ChZDSUhNMG9nS0VJQ0FnSUNzbzlPY1RBEAE,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSUNzcGFTTi1RRRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSUNRNjRqenFRRRAB,(Translated by Google) God clg  (Original) Gud clg,5.0,0.5267,Positive,4,4.5,5,4.0534
ChZDSUhNMG9nS0VJQ0FnSUNzeXNXUU5nEAE,Course and Faculty is Good but Mess and Laundry is worst ! Totally waste of money . We can was 2 times (7kg maximum) in a month ! And Food is also waste of money ! If you join Hostel then you are bound to stay there for 1 year spending over 200000 !,3.0,-0.9447,Negative,1,2.0,2,1.1106
ChZDSUhNMG9nS0VJQ0FnSUNzMHBHR2V3EAE,,3.0,1.5,Positive,5,3.0,3,6.0
ChdDSUhNMG9nS0VJQ0FnSUNzbEotMHB3RRAB,,4.0,1.5,Positive,5,4.0,4,6.0
ChdDSUhNMG9nS0VJQ0FnSURNcEtfZG93RRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSURNdU9yZXJ3RRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSUNNaTlDYTB3RRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSURNa1BuSzN3RRAB,This is the worst university to study at. They steal money from students and make you feel very helpless. I have had the worse experience of my life studying at this university and I regret every money spent for my education in this university.,1.0,-0.9476,Negative,1,1.0,1,1.1048
ChdDSUhNMG9nS0VJQ0FnSUNNOFotWnFBRRAB,One of the best university in Bangalore,4.0,0.6369,Positive,4,4.0,4,4.2738
ChdDSUhNMG9nS0VJQ0FnSUNNdnY3djJ3RRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSUQwcGRtTHVBRRAB,One of the best colleges for MBA in South India Premier Education is provided here. Infrastructure is of International standards over here. There are various college festivals where you can participate and learn a lot. You can expect an all round development over here.,5.0,0.7717,Positive,4,4.5,5,4.5434
ChZDSUhNMG9nS0VJQ0FnSUQweG9fMUV3EAE,,5.0,1.5,Positive,5,5.0,5,6.0
ChZDSUhNMG9nS0VJQ0FnSUQweXNxN2VnEAE,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSUQwbE42cGhBRRAB,Worst college for engineering.,1.0,-0.6249,Negative,1,1.0,1,1.7502
ChZDSUhNMG9nS0VJQ0FnSUQweVBTR05BEAE,Superb environment and good facilities and atmosphere feels like u r in a park,5.0,0.8591,Positive,4,4.5,5,4.7181999999999995
ChdDSUhNMG9nS0VJQ0FnSUQwaUphYXV3RRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChZDSUhNMG9nS0VJQ0FnSUQwc09HRE1nEAE,"just google ""Dr. Ayyappa Dore Alliance University case"" you'll know the kind of people running the show.",1.0,0.0,Neutral,2,1.5,1,3.0
ChdDSUhNMG9nS0VJQ0FnSUMwcGVYSG13RRAB,"The most undisciplined university in Bangalore. Many affairs run between students in the campus,in class. And teachers don't even care about it. If you admit your child in alliance, there are 90% of chances that your child will get spoilt.  The university gives more importance and preference to hostel students than day scholars.",1.0,0.4147,Positive,3,2.0,2,3.8294
ChdDSUhNMG9nS0VJQ0FnSUMwNG9iVjZnRRAB,,1.0,1.5,Positive,5,1.0,1,6.0
ChZDSUhNMG9nS0VJQ0FnSUMwOEpMX01BEAE,,4.0,1.5,Positive,5,4.0,4,6.0
ChZDSUhNMG9nS0VJQ0FnSURVODZMOVVREAE,Excellent experience,5.0,0.5719,Positive,4,4.5,5,4.1438
ChdDSUhNMG9nS0VJQ0FnSURVazhPaWhBRRAB,,1.0,1.5,Positive,5,1.0,1,6.0
ChZDSUhNMG9nS0VJQ0FnSURVNVppOEhnEAE,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSURVanFLWDRnRRAB,"When It comes name of MBA 101% I will remember forever that s Alliance University. I am going to prov it now,  simply I am not saying ... 1) The Education is an investment and this is the best place to invest your  precious money  which you have to get it back and should give it back to your parents once you get it into the job and the choice of Alliance University MBA is going to fetch your real success....  2) The Skill is one of the best weapon which is going to play major role in your successful life that s one and only Alliance university  skill......  3) The Thought is more important than anything in this world in your successful life the thought  was born in you , teach you ,  train you , correct you, inspire you, then will leave you to the successful destiny.. (  Alliance thought )   4)  The confidence  which you are going to get not only for 2 years its for next successful 40 years .....  5) The Maturity .. I can not listen to the people who failed to succeed I know What I have done it  till now,   also I know what I have to do in future ... So MBA means my first choice is Alliance University Thank you so much Alliance University ...    In your successful life 3 people will help you .... a) Parents  b) You   c) Alliance University  This is I am experienced while I was studying even today and forever .. If I had not learned I could not explain like this trust me ...Alliance is one of the best choice of  your education ... go for it.......do not wait for anything ........",5.0,0.9953,Positive,4,4.5,5,4.9906
ChdDSUhNMG9nS0VJQ0FnSURVanZDNDdRRRAB,Best place to Study,5.0,0.6369,Positive,4,4.5,5,4.2738
ChdDSUhNMG9nS0VJQ0FnSURVM1B1MnF3RRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSUNVb19Yc21RRRAB,,1.0,1.5,Positive,5,1.0,1,6.0
ChZDSUhNMG9nS0VJQ0FnSUNVbzdMVEtnEAE,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSUNVZzZDVV9nRRAB,,3.0,1.5,Positive,5,3.0,3,6.0
ChdDSUhNMG9nS0VJQ0FnSUNVX3N2bjNBRRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSUNVM0wtZjBRRRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChZDSUhNMG9nS0VJQ0FnSUNVdEptOWNnEAE,,1.0,1.5,Positive,5,1.0,1,6.0
ChZDSUhNMG9nS0VJQ0FnSURrNy1tdVFREAE,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSURrNi1PaTN3RRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSURrNlpDeXpnRRAB,,3.0,1.5,Positive,5,3.0,3,6.0
ChdDSUhNMG9nS0VJQ0FnSUNFOTdYWjVnRRAB,Very good quality faculty. It's known Placements and study abroad.,5.0,0.4927,Positive,3,4.0,4,3.9854000000000003
ChdDSUhNMG9nS0VJQ0FnSUQ0cHYtRGdBRRAB,Very nice university,5.0,0.4754,Positive,3,4.0,4,3.9508
ChZDSUhNMG9nS0VJQ0FnSUM0bWRUREFnEAE,"Only college where you don't get graduation day, the review you are reading here is past review, once it is good college but not any more. They will do all the drama to get you in college and then boom.. They don't even care about anyone. So make sure you ask students before you join.. Don't ask local people and stuff member.forget about college case....",1.0,0.5684,Positive,4,2.5,2,4.1368
ChdDSUhNMG9nS0VJQ0FnSURZci1Edmp3RRAB,"Great infrastructure but due to lots of internal issue between the  management  ,many  students studying in Alliance have been affected.",3.0,0.1655,Positive,3,3.0,3,3.331
ChdDSUhNMG9nS0VJQ0FnSURZOTVfMTdBRRAB,,1.0,1.5,Positive,5,1.0,1,6.0
ChdDSUhNMG9nS0VJQ0FnSURZOTltR3NRRRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSUNZbEtUNWl3RRAB,,1.0,1.5,Positive,5,1.0,1,6.0
ChZDSUhNMG9nS0VJQ0FnSURZdThmN0ZnEAE,,5.0,1.5,Positive,5,5.0,5,6.0
ChZDSUhNMG9nS0VJQ0FnSUNZX0pHbmV3EAE,,5.0,1.5,Positive,5,5.0,5,6.0
ChZDSUhNMG9nS0VJQ0FnSURZN2ZMa2JBEAE,"Alliance University (AU), Bangalore is a private university, located in Bangalore. The university was an extension of  Alliance Business School offering MBA and Executive MBA  programs.  Alliance University Best Private University 2017 (awarded at India Education Awards).  The university offers undergraduate, post graduate, Doctoral and professional certificate courses in mainly four streams Engineering, Management, Commerce & Law.",4.0,0.872,Positive,4,4.0,4,4.744
ChdDSUhNMG9nS0VJQ0FnSURZN1pHYTJRRRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChZDSUhNMG9nS0VJQ0FnSURZOWVPV0RnEAE,,4.0,1.5,Positive,5,4.0,4,6.0
ChZDSUhNMG9nS0VJQ0FnSURZbnRuSE9BEAE,Super 👍👍,5.0,0.5994,Positive,4,4.5,5,4.1988
ChZDSUhNMG9nS0VJQ0FnSURZam9EWWZBEAE,,5.0,1.5,Positive,5,5.0,5,6.0
ChZDSUhNMG9nS0VJQ0FnSURZMXQ2a1dnEAE,,1.0,1.5,Positive,5,1.0,1,6.0
ChZDSUhNMG9nS0VJQ0FnSURZa3BTdWFnEAE,Clg atmosphere was soo good,4.0,0.4404,Positive,3,3.5,4,3.8808
ChZDSUhNMG9nS0VJQ0FnSURZek1pdlBBEAE,,3.0,1.5,Positive,5,3.0,3,6.0
ChZDSUhNMG9nS0VJQ0FnSURZMU0yc2V3EAE,,1.0,1.5,Positive,5,1.0,1,6.0
ChZDSUhNMG9nS0VJQ0FnSURZeE16TVJBEAE,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSURZNk5yT2dnRRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSURZeUo2ODBBRRAB,"Marketing people call you to join their programmes, indecent behaviour and foul language is used if you say that you are not interested in joining their institution. Worst of their kind people work in this institution..",1.0,-0.1921,Negative,2,1.5,1,2.6158
ChdDSUhNMG9nS0VJQ0FnSURZOEphZ2d3RRAB,"PROFESSORS COME TEACH ON SLIDES GO. 1 MIN LATE TO CLASS UR INSULTED FRONT OF ALL OTHER CLASSMATES BUT PROFESSOR COMES 10-15 MIN SHE'S/HE'S WELCOMED.. STRICT IN BASIS OF COLLEGE FEES, NO TIME GIVEN TO STUDENT TO PAY..  IF U HAVE STUDIED DEGREE HERE, OUT OF 8 LAKHS U CAN PAY 6. INTERNSHIP- HARD TO GET.. CULTURAL/MANAGEMENT FEST IN ASCENT= NIL SPORTS- NIL PLACEMENT - NOT 100% .. MANY DONT GET..  COLLEGE FEST = ANYTHIN GO TO ANEKAL CAMPUS BUT NO SUPPORT..MAIN CAMPUS WILL WIN.. 10 MIN BREAK WILL BE GIVEN EVERY 1 HOUR. 1 SEM IS HECTIC ONE HAS TO BE NERD. BA BCOM BTECH BSC ANYONE CAN DO MBA IN ASCENT BY FRAUD CONSULTANCY. THEY DON'T REFUND IF YOU BACK OUT. INDUSTRIAL VISIT- NO  TEXT BOOK TEACHINGS- NO, THEY TEACH FROM WHAT THEY KNOW AND IGNORE BOOK. AGAIN THEY TELL US TO STUDY TEXT BOOK WHICH IS HECTIC. THERE'S A DSA SYSTEM -  THEY FORCE U TO REVIEW ABOUT PROF TWICE.  WHAT'S DSA=100% ATTENDANCE=5 MARKS, ASSIGNMENTS,GROUP PPTS(COPY PASTE PRESENT), MID TERM EXAM(50m BUT U GET 50% OF IT ADDED TO DSA). PASSIN MARKS =25.. U GET LESS THAN 25 DSA U R INELIGIBLE TO WRITE FINALS SEM EXAMS THIS IS HOW THEY GET 1000RS×1 BACKLOG RE EXAM FEE...  U GET 100/100 NO USE ITLL BE 50% OF SCORED MARKS+DSA..  ASCENT COLLEGE- NO CCTV, NO PROPER WATER PURIFIER, 1 AC DOESNT WORK.. THERE'S A POLICE VAN OUTSIDE OFTEN. SPOILS UR LIFE SINCE THERES A HUB OF WEED LOVERS. ASCENT MBA COLLEGE BTM = 8 LAKHS *NOT WORTH UR INVESTMENT*",1.0,-0.9795,Negative,1,1.0,1,1.041
ChdDSUhNMG9nS0VJQ0FnSUNZNzdLMjJBRRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSUNZbDRYOG53RRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSUNZdmUyaTF3RRAB,"Its a great University with magnificent infrastructure and amazing greenery. There have been disputes few years back which have had spoilt the college name but to be honest since the last one year this university has been on its toes and is one of the prestigious universities in country as of now. Great faculty, amazing subjects, and the academia and industry interface is just amazing. The rankings say it all as of 2019 its one of the premiere institutions in the country. Give a visit and you will be spell bounded.",5.0,0.9824,Positive,4,4.5,5,4.9648
ChZDSUhNMG9nS0VJQ0FnSUNZcXBxd0RnEAE,"Study is not good, they play with the students’s career, they promised to refund our money in 2016, till now no answer from them.",1.0,-0.484,Negative,1,1.0,1,2.032
ChdDSUhNMG9nS0VJQ0FnSUNZb29yaHRnRRAB,CMAT  ki exam dayne vale students ka data nikal va ki un k gar post say advertising k pamphlet bhej Tey hai...! Soch ne vali bat ye hai ye address kis ne diya..😒🤔🤔 CHAT  valo ne he hamara sara data beych diya kya...💸💸💸💸💸💸💸💸💸,1.0,0.0,Neutral,2,1.5,1,3.0
ChdDSUhNMG9nS0VJQ0FnSUNZX0tHVzB3RRAB,,1.0,1.5,Positive,5,1.0,1,6.0
ChdDSUhNMG9nS0VJQ0FnSUNBNGJTMnFRRRAB,"worst university,politics inside faculty spoils student career",1.0,-0.6249,Negative,1,1.0,1,1.7502
ChdDSUhNMG9nS0VJQ0FnSURvMzRMOTN3RRAB,"I went here for ICT Student Innovator competition, and not a regular student. I really loved the campus it was so amazing, I wish I was a student of this University. I really liked the campus culture, no stubborn rules in campus about dress code and behaviour, you know what I am about. You can really be yourself 😏. Well, I was just there for two days. Complete day and night.",5.0,0.9611,Positive,4,4.5,5,4.9222
ChdDSUhNMG9nS0VJQ0FnSURvNTlpUV9RRRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSUNnNmZueHdnRRAB,,2.0,1.5,Positive,5,2.0,2,6.0
